name,address,city,state,zip_code,country,region,phone,email,website,status
1st Print Comics,1548 Buffalo Rd,Rochester,NY,14624,USA,Northeast,585-978-9791,mike@1stprintcomics.com,1stprintcomics.com,mailed
20th Century Books,1421 S Park St Ste 200,Madison,WI,53715,USA,Midwest,,hank.luttrell@gmail.com,southparkbooks.com,mailed
2nd & Charles,45290 Utica Park Blvd,Utica,MI,48315,USA,Midwest,(586) 254-1370,support@2ndandcharles.com,2ndandcharles.com,mailed
2nd Time Around Comics,902 Conover Blvd E Ste B,Conover,NC,28613,USA,Southeast,,2ndtimearoundcomics@gmail.com,2ndtimearoundcomics.com,mailed
3rd Universe Comic Emporium,35 N Riverside Ave,Croton-On-Hudson,NY,10520,USA,Northeast,914-827-3600,the3rduniverse@gmail.com,the3rduniverse.com,mailed
4 Color Fantasies,8045 Archibald Ave #120,Rancho Cucamonga,CA,91730,USA,West,855-692-6642,chris@4colorfantasies.com,4colorfantasies.com,mailed
A & S Comics & Cards,7512 Bergenline Ave,North Bergen,NJ,07047,USA,Northeast,(201) 869-0280,ascomics@aol.com,www.ascomics.com,mailed
A Cardstore,4018 Union Rd,Buffalo,NY,14225,USA,Northeast,716-713-1184,acardstore99@yahoo.com,,mailed
A G Collectibles,6658 Carnelian St,Rancho Cucamonga,CA,91701,USA,West,909-758-0090,armingtongalleries@gmail.com,agcollectibles.com,mailed
A Little Shop of Comics,509 Berckman St,Plainfield,NJ,07062,USA,Northeast,(908) 322-9402,info@littleshopofcomics.com,littleshopofcomics.com,mailed
A Pennyworths Comics,11025 Monroe Rd Ste D,Matthews,NC,28105,USA,Southeast,(704) 849-2287,apennyworthscomics@gmail.com,apennyworthscomics.com,mailed
A Shop Called Quest,101 N Indian Hill Blvd,Claremont,CA,91711,USA,West,,info@ashopcalledquest.com,ashopcalledquest.com,mailed
A Shop Called Quest,5 E Citrus Ave Ste 101,Redlands,CA,92373,USA,West,,YesYouCan@AShopCalledQuest.com,ashopcalledquest.com,mailed
A To Z Cards Comics Coins,32647 Ford Rd,Garden City,MI,48135,USA,Midwest,734-425-6780,atozcardsandcomics@gmail.com,http://youratoz.com/,mailed
A&M Comics and Books,6650 Bird Road,Miami,FL,33155,USA,Southeast,(305) 661-3406,amcomics@gmail.com,http://amcomicbooks.com,mailed
A&S Comics,563 Cedar Ln,Teaneck,NJ,07666,USA,Northeast,201-801-0500,info@ascomics.com,ascomics.com,mailed
A-1 Comics,818 Sunrise Ave,Roseville,CA,95661,USA,West,,a1roseville@a-1comics.com,a-1comics.com,mailed
A-1 Comics,5361 Auburn Blvd,Sacramento,CA,95841,USA,West,,a1comics@a-1comics.com,a-1comics.com,mailed
Aamazing Fantasy Comics,6721 W Ken Caryl Avenue,Littleton,CO,80128,USA,West,,shawno01@aol.com,aamazingfantasycomics.com,mailed
Acme Comics,2150 Lawndale Dr,Greensboro,NC,27408,USA,Southeast,336-574-2263,acmelwn@bellsouth.net,acmecomics.com,mailed
Acme Comics & Collectibles,1622 Pierce St,Sioux City,IA,51105,USA,Midwest,,acmecomicssiouxcity@outlook.com,acmefirst.net,mailed
Acme Superstore,905 E State Road 434,Longwood,FL,32750,USA,Southeast,(407) 331-0433,info@acme-superstore.com,acme-superstore.com,mailed
Action City Comics,570 Manhattan Ave,Brooklyn,NY,11222,USA,Northeast,929-458-1890,info@actioncitycomics.com,actioncitycomics.com,mailed
Action Comics & Sports,210 N Boulder Hwy #110,Henderson,NV,89015,USA,West,,vegaschess@msn.com,actioncomicsandsports.com,mailed
Adventures In Comics & Games,6026 Fair Oaks Blvd,Carmichael,CA,95608,USA,West,,adventures9860@sbcglobal.net,adventureson.com,mailed
Affordable Cards & Comics,2395 Hamner Ave Ste F,Norco,CA,92860,USA,West,951-736-8552,info@affordablecardsnorco.com,affordablecardsnorco.com,mailed
Aftertime Comics,1304 King St,Alexandria,VA,22314,USA,Southeast,(703) 548-5030,zzaftertime@aol.com,aftertimecomics.com,mailed
Age Of Comics,5505 Osuna Rd NE,Albuquerque,NM,87109,USA,Southwest,,ageofcomics@hotmail.com,,mailed
Alakazam Comics,17777 Main St Ste E,Irvine,CA,92614,USA,West,949-854-3744,irvine@alakazamcomics.com,alakazamcomics.com,mailed
Alexs MVP Cards & Comics,1590 York Ave,New York,NY,10028,USA,Northeast,212-831-2273,mvp@alexsmvp.com,alexsmvp.com,mailed
Alien Worlds,6900 San Pedro Ave #121,San Antonio,TX,78216,USA,Southwest,,alienworlds2@yahoo.com,alienworldscomics.com,mailed
All American Collectibles,6933 Hampton Ave,Saint Louis,MO,63109,USA,Midwest,314-352-7700,david.schmidt@allamericanccg.com,aac-mo.com,mailed
All Star Comics & Collectibles,200 E Montauk Hwy,Lindenhurst,NY,11757,USA,Northeast,347-335-6289,allstarcomicsny@gmail.com,,mailed
Alter Ego Comics,331 7th Ave,Marion,IA,52302,USA,Midwest,,erin@alteregoia.com,alteregoia.com,mailed
Alter Ego Comics,230 N Main St,Lima,OH,45801,USA,Midwest,419-224-6700,support@alteregocomics.com,alteregocomics.com,mailed
Altered State Comics,671 Big Bend Rd,Manchester,MO,63021,USA,Midwest,636-220-4785,AlteredStateSTL@gmail.com,alteredstatecomics.com,mailed
Alternate Reality Inc,3149 W 111th St,Chicago,IL,60655,USA,Midwest,773-881-4090,arcomics@msn.com,myalternatereality.com,mailed
Alternate Universe,1181 Chapel Street,New Haven,CT,06511,USA,Northeast,(203) 562-0108,altun96@aol.com,www.alternateuniversect.com,mailed
Alternate Universe Comics,398 Bridgeport Ave,Milford,CT,06460,USA,Northeast,(203) 876-8539,alternateuniversect@gmail.com,www.alternateuniversect.com,mailed
Alterniverse,1164 Rte 9G Suite 6,Hyde Park,NY,12538,USA,Northeast,(845) 233-4234,alterniverse2@aol.com,alterniverse.net,mailed
Amazing Book-Store,3718 Richfield Rd,Flint,MI,48506,USA,Midwest,810-736-3025,amazingbookstore@comcast.net,http://www.amazebookstore.com/,mailed
Amazing Comics & Cards,5555 E Stearns St Ste 102,Long Beach,CA,90815,USA,West,,amazingcomics@att.net,amazingcomics.com,mailed
Amazing Comics & Cards,6735 Westminster Blvd Ste E,Westminster,CA,92683,USA,West,714-379-0177,amazingcomicswest@gmail.com,amazingcomics.com,mailed
Amazing Fantasy Books & Comics,20523 S La Grange Rd,Frankfort,IL,60423,USA,Midwest,,contact_us@afbooks.com,afbooks.com,mailed
Amazing Fantasy Books & Comics Lockport,113 E 9th St,Lockport,IL,60441,USA,Midwest,,contact_us@afbooks.com,afbooks.com,mailed
Amazing Fantasy Books & Comics Tinley Park,15948 S Harlem Ave,Tinley Park,IL,60477,USA,Midwest,,contact_us@afbooks.com,afbooks.com,mailed
Amazing Heroes,1025A Stuyvesant Ave,Union,NJ,07083,USA,Northeast,908-687-4338,amazingheroes@hotmail.com,amazingheroes.com,mailed
Amok Time,108 New South Rd Suite C,Hicksville,NY,11801,USA,Northeast,(516) 520-0975,amoktime@aol.com,www.amoktime.com,mailed
Androids Amazing Comics,61 Railroad Avenue,Sayville,NY,11782,USA,Northeast,(631) 567-8069,artie@androidscomics.com,androidscomics.com,mailed
Annex Comics,308 Broadway,Newport,RI,02840,USA,Northeast,401-847-4607,annex.comics@cox.net,annexcomics.com,mailed
Anthonys Comic Book Art Warehouse and Office,43 Romeo St,Moonachie,NJ,07074,USA,Northeast,917-821-8893,asnyder@anthonyscomicbookart.com,anthonyscomicbookart.com,mailed
Anthonys Comic Books Original Art & Collectibles Retail Store,118 Fort Lee Rd,Leonia,NJ,07605,USA,Northeast,201-849-5223,info@anthonyscomicbookart.com,anthonyscomicbookart.com,mailed
Anyone Comics,831 Nostrand Ave,Brooklyn,NY,11225,USA,Northeast,347-350-8422,info@anyonecomics.com,anyonecomics.com,mailed
Aquilonia,412 Fulton St,Troy,NY,12180,USA,Northeast,(518) 271-1069,lupir@aol.com,aquiloniacomicsandcards.com,mailed
Arcane Comics And More,15202 Aurora Ave N Ste A,Shoreline,WA,98133,USA,West,,info@arcanecomics.net,arcanecomicbooks.com,mailed
Arsenal Comics & Games,1610-1 Newbury Rd Ste A,Newbury Park,CA,91320,USA,West,,arsenal@arsenalcng.com,arsenalcomicsandgames.com,mailed
Arsenal Comics & Games,3431 Telegraph Rd,Ventura,CA,93003,USA,West,(805) 620-0543,service@arsenalcng.com,arsenalcomicsandgames.com,mailed
Astro-Zombies,3100 Central Ave SE,Albuquerque,NM,87106,USA,Southwest,,info@astrozombies.com,astrozombies.com,mailed
Asylum Comics,212 Third Street Suite A,Marietta,OH,45750,USA,Midwest,(740) 373-9710,asylum_comics@yahoo.com,www.facebook.com/AsylumComics,mailed
Atlantis Games & Comics,145 E Little Creek Rd,Norfolk,VA,23505,USA,Southeast,,ac3@atlantis-comics.com,atlantis-comics.com,mailed
Atlantis Games and Comics,2862 Airline Blvd,Portsmouth,VA,23701,USA,Southeast,757-465-1617,ac1@atlantis-comics.com,atlantis-comics.com,mailed
Atlantis Games and Comics,9649 1st View St,Norfolk,VA,23503,USA,Southeast,757-502-8954,ac3@atlantis-comics.com,atlantis-comics.com,mailed
Atlas Comics,5251 N Harlem Ave,Chicago,IL,60656,USA,Midwest,,atlas@acomics.com,acomics.com,mailed
Atomic City Comics,638 South St,Philadelphia,PA,19147,USA,Northeast,,atomiccitycomics@aol.com,atomic-city-comics.b12sites.com,mailed
Atomic Comics Emporium,452 Denbigh Blvd Ste C,Newport News,VA,23608,USA,Southeast,,atmcmx@gmail.com,atomiccomicsemporium.com,mailed
Augusta Book Exchange,280 S Belair Rd Suite 5,Martinez,GA,30907,USA,Southeast,(706) 860-6553,abx.augusta@gmail.com,facebook.com/groups/136179031760,mailed
Austin Books & Comics,5002 North Lamar Blvd,Austin,TX,78751,USA,Southwest,,info@austinbooks.com,austinbooks.com,mailed
Average Ape Comics and Games,2325 Balls Ferry Rd,Anderson,CA,96007,USA,West,,averageapestudios@gmail.com,averageape.com,mailed
Aw Yeah Comics,119 E Charles St,Muncie,IN,47305,USA,Midwest,7652825297,christina@awyeahcomicsmuncie.com,awyeahcomicsmuncie.com,mailed
Aw Yeah Comics NY,313 Halstead Ave,Harrison,NY,10528,USA,Northeast,914-732-3600,aycny@awyeahcomics.com,awyeahcomics.com,mailed
Bailey's Comics of Lindenhurst,282 North Wellwood Ave,Lindenhurst,NY,11757,USA,Northeast,(631) 225-5085,baileyscomics@gmail.com,www.baileyscomics.com,mailed
Bargain Comics & Cards,19 E Bijou St,Colorado Springs,CO,80903,USA,West,(719) 578-8847,comics@escapevelocitycomics.com,escapevelocitycomics.com,mailed
Battlestar Comics,G4383 S Saginaw St,Burton,MI,48529,USA,Midwest,810-341-3331,jameskruger@yahoo.com,http://www.battlestarcomics.com/,mailed
Bazinga Comics,2941 Thousand Oaks #101,San Antonio,TX,78247,USA,Southwest,,custservice@bazingacomics.com,bazingacomics.com,mailed
BC Comix of Battle Creek,669 Capital Ave SW,Battle Creek,MI,49015,USA,Midwest,(269) 963-3773,bccomix10@gmail.com,bccomix.com,mailed
BCS Books and Comics,701 Inwood Dr,Bryan,TX,77802,USA,Southwest,,dagmar.jones@gmail.com,bcsbooksandcomics.com,mailed
Beachead Comics,1326 W Chew St,Allentown,PA,18102,USA,Northeast,610-770-1326,beachcom@aol.com,beacheadcomics.com,mailed
